fault_id,family,family_label,bucket,kind,expected_layer,first_layer,intercepted,target_field,description,detail
F1-handoff-adapter-inner_space,F1,identifier pollution,directed,static,schema_validation,schema_validation,True,handoff.adapter,inner_space pollution of handoff.adapter,handoff: 'dry run-broker-adapter' does not match '^\\S+$'
F1-handoff-adapter-tab,F1,identifier pollution,directed,static,schema_validation,schema_validation,True,handoff.adapter,tab pollution of handoff.adapter,handoff: '\tdry-run-broker-adapter' does not match '^\\S+$'
F1-handoff-adapter-newline,F1,identifier pollution,directed,static,schema_validation,single_artifact_validator,True,handoff.adapter,newline pollution of handoff.adapter,handoff: adapter must not contain whitespace
F1-handoff-adapter-homoglyph_a,F1,identifier pollution,directed,static,schema_validation,approval_hash_binding,True,handoff.adapter,homoglyph_a pollution of handoff.adapter,approval binding: request_artifact_hash does not match broker handoff artifact
F1-handoff-adapter-homoglyph_o,F1,identifier pollution,directed,static,schema_validation,approval_hash_binding,True,handoff.adapter,homoglyph_o pollution of handoff.adapter,approval binding: request_artifact_hash does not match broker handoff artifact
F1-handoff-adapter-zero_width,F1,identifier pollution,directed,static,schema_validation,approval_hash_binding,True,handoff.adapter,zero_width pollution of handoff.adapter,approval binding: request_artifact_hash does not match broker handoff artifact
F1-handoff-adapter-fullwidth,F1,identifier pollution,directed,static,schema_validation,approval_hash_binding,True,handoff.adapter,fullwidth pollution of handoff.adapter,approval binding: request_artifact_hash does not match broker handoff artifact
F1-handoff-adapter-upcase,F1,identifier pollution,directed,static,schema_validation,approval_hash_binding,True,handoff.adapter,upcase pollution of handoff.adapter,approval binding: request_artifact_hash does not match broker handoff artifact
F1-approval-approved_by-lead_space,F1,identifier pollution,directed,static,schema_validation,schema_validation,True,approval.approved_by,lead_space pollution of approval.approved_by,approval: ' e1-operator' does not match '^\\S+$'
F1-approval-approved_by-trail_space,F1,identifier pollution,directed,static,schema_validation,schema_validation,True,approval.approved_by,trail_space pollution of approval.approved_by,approval: 'e1-operator ' does not match '^\\S+$'
F1-approval-approved_by-inner_space,F1,identifier pollution,directed,static,schema_validation,schema_validation,True,approval.approved_by,inner_space pollution of approval.approved_by,approval: 'e1 operator' does not match '^\\S+$'
F1-approval-approved_by-tab,F1,identifier pollution,directed,static,schema_validation,schema_validation,True,approval.approved_by,tab pollution of approval.approved_by,approval: '\te1-operator' does not match '^\\S+$'
F1-approval-approved_by-newline,F1,identifier pollution,directed,static,schema_validation,single_artifact_validator,True,approval.approved_by,newline pollution of approval.approved_by,approval: approved_by must not contain whitespace
F1-approval-approved_by-homoglyph_a,F1,identifier pollution,directed,static,schema_validation,escape,False,approval.approved_by,homoglyph_a pollution of approval.approved_by,passed all five layers and the sealed final gate
F1-approval-approved_by-homoglyph_o,F1,identifier pollution,directed,static,schema_validation,escape,False,approval.approved_by,homoglyph_o pollution of approval.approved_by,passed all five layers and the sealed final gate
F1-approval-approved_by-zero_width,F1,identifier pollution,directed,static,schema_validation,escape,False,approval.approved_by,zero_width pollution of approval.approved_by,passed all five layers and the sealed final gate
F1-approval-approved_by-fullwidth,F1,identifier pollution,directed,static,schema_validation,escape,False,approval.approved_by,fullwidth pollution of approval.approved_by,passed all five layers and the sealed final gate
F1-approval-approved_by-upcase,F1,identifier pollution,directed,static,schema_validation,escape,False,approval.approved_by,upcase pollution of approval.approved_by,passed all five layers and the sealed final gate
F1-approval-approval_id-lead_space,F1,identifier pollution,directed,static,schema_validation,schema_validation,True,approval.approval_id,lead_space pollution of approval.approval_id,approval: ' e1tpl-approval-001' does not match '^\\S+$'
F1-approval-approval_id-trail_space,F1,identifier pollution,directed,static,schema_validation,schema_validation,True,approval.approval_id,trail_space pollution of approval.approval_id,approval: 'e1tpl-approval-001 ' does not match '^\\S+$'
F1-approval-approval_id-inner_space,F1,identifier pollution,directed,static,schema_validation,schema_validation,True,approval.approval_id,inner_space pollution of approval.approval_id,approval: 'e1tpl approval-001' does not match '^\\S+$'
F1-approval-approval_id-tab,F1,identifier pollution,directed,static,schema_validation,schema_validation,True,approval.approval_id,tab pollution of approval.approval_id,approval: '\te1tpl-approval-001' does not match '^\\S+$'
F1-fuzz-unknown_field-000,F1,identifier pollution,fuzz,static,,schema_validation,True,response.injected_299,out-of-catalog unknown_field on response,response: Additional properties are not allowed ('injected_299' was unexpected)
F1-fuzz-nesting_abuse-001,F1,identifier pollution,fuzz,static,,schema_validation,True,approval.approval_id,out-of-catalog nesting_abuse on approval,approval: [[{'depth': ['e1tpl-approval-001']}]] is not of type 'string'
F1-fuzz-cross_splice-002,F1,identifier pollution,fuzz,static,,schema_validation,True,response.live_submission,out-of-catalog cross_splice on response,response: 'e1tpl-approval-001' is not of type 'boolean'
F1-fuzz-boundary_numeric-003,F1,identifier pollution,fuzz,static,,schema_validation,True,handoff.account_mode,out-of-catalog boundary_numeric on handoff,handoff: 1e+308 is not of type 'string'
F1-fuzz-unknown_field-004,F1,identifier pollution,fuzz,static,,schema_validation,True,handoff.injected_886,out-of-catalog unknown_field on handoff,handoff: Additional properties are not allowed ('injected_886' was unexpected)
F1-fuzz-unknown_field-005,F1,identifier pollution,fuzz,static,,schema_validation,True,handoff.injected_546,out-of-catalog unknown_field on handoff,handoff: Additional properties are not allowed ('injected_546' was unexpected)
F1-fuzz-cross_splice-006,F1,identifier pollution,fuzz,static,,schema_validation,True,approval.account_mode,out-of-catalog cross_splice on approval,approval: 'live' was expected
F1-fuzz-cross_splice-007,F1,identifier pollution,fuzz,static,,schema_validation,True,response.reconciliation,out-of-catalog cross_splice on response,response: ['limit'] is not of type 'object'
F1-fuzz-boundary_numeric-008,F1,identifier pollution,fuzz,static,,schema_validation,True,handoff.live_submission,out-of-catalog boundary_numeric on handoff,handoff: -1 is not of type 'boolean'
F1-fuzz-nesting_abuse-009,F1,identifier pollution,fuzz,static,,schema_validation,True,response.adapter_mode,out-of-catalog nesting_abuse on response,response: [[{'depth': ['dry_run']}]] is not of type 'string'
F1-fuzz-nesting_abuse-010,F1,identifier pollution,fuzz,static,,schema_validation,True,handoff.adapter_mode,out-of-catalog nesting_abuse on handoff,handoff: [[{'depth': ['dry_run']}]] is not of type 'string'
F1-fuzz-boundary_numeric-011,F1,identifier pollution,fuzz,static,,schema_validation,True,handoff.manual_approval_required,out-of-catalog boundary_numeric on handoff,handoff: 1e+308 is not of type 'boolean'
F1-fuzz-retype_field-012,F1,identifier pollution,fuzz,static,,schema_validation,True,response.responses,out-of-catalog retype_field on response,response: 'string-instead' is not of type 'array'
F1-fuzz-free_text_tamper-013,F1,identifier pollution,fuzz,static,,escape,False,approval.approval_reason,out-of-catalog free_text_tamper on approval,passed all five layers and the sealed final gate
F1-fuzz-cross_splice-014,F1,identifier pollution,fuzz,static,,schema_validation,True,response.reconciliation,out-of-catalog cross_splice on response,response: '2026-07-03T09:05:00Z' is not of type 'object'
F1-fuzz-retype_field-015,F1,identifier pollution,fuzz,static,,schema_validation,True,approval.approved_at,out-of-catalog retype_field on approval,"approval: ['as', 'list'] is not of type 'string'"
F1-fuzz-cross_splice-016,F1,identifier pollution,fuzz,static,,schema_validation,True,handoff.kill_switch,out-of-catalog cross_splice on handoff,handoff: 100.0 is not of type 'boolean'
F1-fuzz-boundary_numeric-017,F1,identifier pollution,fuzz,static,,schema_validation,True,handoff.manual_approval_required,out-of-catalog boundary_numeric on handoff,handoff: -1 is not of type 'boolean'
F1-fuzz-unknown_field-018,F1,identifier pollution,fuzz,static,,schema_validation,True,handoff.injected_693,out-of-catalog unknown_field on handoff,handoff: Additional properties are not allowed ('injected_693' was unexpected)
F1-fuzz-free_text_tamper-019,F1,identifier pollution,fuzz,static,,escape,False,bundle.safety_note,out-of-catalog free_text_tamper on approval,passed all five layers and the sealed final gate
F2-capability-supported_order_types-limit-order-absent-from-supported-order-,F2,capability overreach,directed,static,cross_artifact_preflight,cross_artifact_preflight,True,capability.supported_order_types,limit order absent from supported_order_types,handoff_artifact.orders[0].order_type limit is not declared in capability_manifest.supported_order_types
F2-capability-supported_time_in_force-handoff-time-in-force-absent-from-capabi,F2,capability overreach,directed,static,cross_artifact_preflight,cross_artifact_preflight,True,capability.supported_time_in_force,handoff time_in_force absent from capability,handoff_artifact.orders[0].time_in_force day is not declared in capability_manifest.supported_time_in_force
F2-capability-supported_time_in_force-day-tif-absent-from-capability-list,F2,capability overreach,directed,static,cross_artifact_preflight,cross_artifact_preflight,True,capability.supported_time_in_force,day TIF absent from capability list,handoff_artifact.orders[0].time_in_force day is not declared in capability_manifest.supported_time_in_force
F2-capability-account_modes-paper-account-mode-absent-from-capabilit,F2,capability overreach,directed,static,cross_artifact_preflight,cross_artifact_preflight,True,capability.account_modes,paper account_mode absent from capability,handoff_artifact.account_mode paper is not declared in capability_manifest.account_modes
F2-capability-account_modes-paper-account-mode-absent--none-live-onl,F2,capability overreach,directed,static,cross_artifact_preflight,cross_artifact_preflight,True,capability.account_modes,paper account_mode absent (none/live only),handoff_artifact.account_mode paper is not declared in capability_manifest.account_modes
F2-capability-supported_modes-dry-run-mode-absent-from-capability,F2,capability overreach,directed,static,cross_artifact_preflight,single_artifact_validator,True,capability.supported_modes,dry_run mode absent from capability,capability: default_mode must be included in supported_modes
F2-capability-supported_modes-only-offline-export-declared,F2,capability overreach,directed,static,cross_artifact_preflight,single_artifact_validator,True,capability.supported_modes,only offline_export declared,capability: default_mode must be included in supported_modes
F2-capability-adapter_id-adapter-id-disagrees-with-handoff-adapte,F2,capability overreach,directed,static,cross_artifact_preflight,cross_artifact_preflight,True,capability.adapter_id,adapter_id disagrees with handoff.adapter,handoff_artifact.adapter dry-run-broker-adapter does not match capability_manifest.adapter_id some-other-adapter
F2-capability-default_mode-default-mode-disagrees-with-runbook-defa,F2,capability overreach,directed,static,cross_artifact_preflight,cross_artifact_preflight,True,capability.default_mode,default_mode disagrees with runbook default_mode,operator_runbook_artifact.default_mode dry_run does not match capability_manifest.default_mode paper_sandbox
F2-handoff-live-submission-true,F2,capability overreach,directed,static,schema_validation,schema_validation,True,handoff.live_submission,dry_run handoff sets live_submission true,handoff: False was expected
F2-handoff-paper-only-false,F2,capability overreach,directed,static,schema_validation,schema_validation,True,handoff.paper_only,dry_run handoff sets paper_only false,handoff: True was expected
F2-capability-supports-live-submission,F2,capability overreach,directed,static,single_artifact_validator,schema_validation,True,capability.supports_live_submission,paper capability claims supports_live_submission without live-capable controls,capability: 'live_capable' was expected
F2-capability-live-submission-default,F2,capability overreach,directed,static,schema_validation,schema_validation,True,capability.live_submission_default,capability sets live_submission_default true,capability: False was expected
F2-handoff-tif-gtc,F2,capability overreach,directed,static,approval_hash_binding,approval_hash_binding,True,handoff.orders[0].time_in_force,handoff order time_in_force escalated to gtc,approval binding: request_artifact_hash does not match broker handoff artifact
F2-handoff-tif-ioc,F2,capability overreach,directed,static,approval_hash_binding,approval_hash_binding,True,handoff.orders[0].time_in_force,handoff order time_in_force escalated to ioc,approval binding: request_artifact_hash does not match broker handoff artifact
F2-handoff-tif-fok,F2,capability overreach,directed,static,approval_hash_binding,approval_hash_binding,True,handoff.orders[0].time_in_force,handoff order time_in_force escalated to fok,approval binding: request_artifact_hash does not match broker handoff artifact
F2-handoff-tif-opg,F2,capability overreach,directed,static,approval_hash_binding,approval_hash_binding,True,handoff.orders[0].time_in_force,handoff order time_in_force escalated to opg,approval binding: request_artifact_hash does not match broker handoff artifact
F2-handoff-tif-cls,F2,capability overreach,directed,static,approval_hash_binding,approval_hash_binding,True,handoff.orders[0].time_in_force,handoff order time_in_force escalated to cls,approval binding: request_artifact_hash does not match broker handoff artifact
F2-handoff-symbol-xau-usd,F2,capability overreach,directed,static,approval_hash_binding,approval_hash_binding,True,handoff.orders[0].symbol,handoff injects out-of-scope symbol XAU-USD,approval binding: request_artifact_hash does not match broker handoff artifact
F2-handoff-symbol-eth-usd,F2,capability overreach,directed,static,approval_hash_binding,approval_hash_binding,True,handoff.orders[0].symbol,handoff injects out-of-scope symbol ETH-USD,approval binding: request_artifact_hash does not match broker handoff artifact
F2-handoff-symbol-aapl,F2,capability overreach,directed,static,approval_hash_binding,approval_hash_binding,True,handoff.orders[0].symbol,handoff injects out-of-scope symbol AAPL,approval binding: request_artifact_hash does not match broker handoff artifact
F2-handoff-symbol-tsla,F2,capability overreach,directed,static,approval_hash_binding,approval_hash_binding,True,handoff.orders[0].symbol,handoff injects out-of-scope symbol TSLA,approval binding: request_artifact_hash does not match broker handoff artifact
F2-handoff-symbol-nvda,F2,capability overreach,directed,static,approval_hash_binding,approval_hash_binding,True,handoff.orders[0].symbol,handoff injects out-of-scope symbol NVDA,approval binding: request_artifact_hash does not match broker handoff artifact
F2-fuzz-unknown_field-000,F2,capability overreach,fuzz,static,,schema_validation,True,capability.injected_821,out-of-catalog unknown_field on capability,capability: Additional properties are not allowed ('injected_821' was unexpected)
F2-fuzz-delete_field-001,F2,capability overreach,fuzz,static,,schema_validation,True,capability.adapter_kind,out-of-catalog delete_field on capability,capability: 'adapter_kind' is a required property
F2-fuzz-boundary_numeric-002,F2,capability overreach,fuzz,static,,schema_validation,True,handoff.adapter,out-of-catalog boundary_numeric on handoff,handoff: 1e+308 is not of type 'string'
F2-fuzz-cross_splice-003,F2,capability overreach,fuzz,static,,escape,False,capability.adapter_name,out-of-catalog cross_splice on capability,passed all five layers and the sealed final gate
F2-fuzz-cross_splice-004,F2,capability overreach,fuzz,static,,schema_validation,True,handoff.kill_switch,out-of-catalog cross_splice on handoff,handoff: ['limit'] is not of type 'boolean'
F2-fuzz-free_text_tamper-005,F2,capability overreach,fuzz,static,,escape,False,capability.safety_note,out-of-catalog free_text_tamper on handoff,passed all five layers and the sealed final gate
F2-fuzz-unknown_field-006,F2,capability overreach,fuzz,static,,schema_validation,True,capability.injected_992,out-of-catalog unknown_field on capability,capability: Additional properties are not allowed ('injected_992' was unexpected)
F2-fuzz-unknown_field-007,F2,capability overreach,fuzz,static,,schema_validation,True,handoff.injected_520,out-of-catalog unknown_field on handoff,handoff: Additional properties are not allowed ('injected_520' was unexpected)
F2-fuzz-boundary_numeric-008,F2,capability overreach,fuzz,static,,schema_validation,True,handoff.adapter,out-of-catalog boundary_numeric on handoff,handoff: -0.0 is not of type 'string'
F2-fuzz-delete_field-009,F2,capability overreach,fuzz,static,,schema_validation,True,handoff.adapter_mode,out-of-catalog delete_field on handoff,handoff: 'adapter_mode' is a required property
F2-fuzz-nesting_abuse-010,F2,capability overreach,fuzz,static,,schema_validation,True,handoff.paper_only,out-of-catalog nesting_abuse on handoff,handoff: [[{'depth': [True]}]] is not of type 'boolean'
F2-fuzz-nesting_abuse-011,F2,capability overreach,fuzz,static,,schema_validation,True,handoff.orders,out-of-catalog nesting_abuse on handoff,"handoff: [{'depth': [[{'client_order_id': 'ls-e1tpl-0001-btc-usd', 'adapter_mode': 'dry_run', 'account_mode': 'paper', 'symbol': 'BTC-USD', 'side': 'buy', 'order_type': 'limit', 'quantity': 0.00915328, 'time_in_force': 'day', 'limit_price':"
F2-fuzz-unknown_field-012,F2,capability overreach,fuzz,static,,schema_validation,True,handoff.injected_311,out-of-catalog unknown_field on handoff,handoff: Additional properties are not allowed ('injected_311' was unexpected)
F2-fuzz-delete_field-013,F2,capability overreach,fuzz,static,,schema_validation,True,capability.credential_policy,out-of-catalog delete_field on capability,capability: 'credential_policy' is a required property
F2-fuzz-cross_splice-014,F2,capability overreach,fuzz,static,,schema_validation,True,handoff.kill_switch,out-of-catalog cross_splice on handoff,handoff: 'e1tpl-approval-001' is not of type 'boolean'
F2-fuzz-unknown_field-015,F2,capability overreach,fuzz,static,,schema_validation,True,capability.injected_346,out-of-catalog unknown_field on capability,capability: Additional properties are not allowed ('injected_346' was unexpected)
F2-fuzz-delete_field-016,F2,capability overreach,fuzz,static,,schema_validation,True,handoff.live_submission,out-of-catalog delete_field on handoff,handoff: 'live_submission' is a required property
F2-fuzz-delete_field-017,F2,capability overreach,fuzz,static,,schema_validation,True,handoff.kill_switch,out-of-catalog delete_field on handoff,handoff: 'kill_switch' is a required property
F2-fuzz-retype_field-018,F2,capability overreach,fuzz,static,,schema_validation,True,capability.verification_commands,out-of-catalog retype_field on capability,capability: True is not of type 'array'
F2-fuzz-nesting_abuse-019,F2,capability overreach,fuzz,static,,schema_validation,True,capability.network_access,out-of-catalog nesting_abuse on capability,"capability: [[{'depth': ['none']}]] is not one of ['none', 'optional', 'required_for_paper_sandbox', 'required_for_live']"
F2-fuzz-retype_field-020,F2,capability overreach,fuzz,static,,schema_validation,True,capability.credential_policy,out-of-catalog retype_field on capability,capability: 'string-instead' is not of type 'object'
F2-fuzz-unknown_field-021,F2,capability overreach,fuzz,static,,schema_validation,True,capability.injected_446,out-of-catalog unknown_field on capability,capability: Additional properties are not allowed ('injected_446' was unexpected)
F2-fuzz-boundary_numeric-022,F2,capability overreach,fuzz,static,,approval_hash_binding,True,handoff.adapter,out-of-catalog boundary_numeric on handoff,approval binding: request_artifact_hash does not match broker handoff artifact
F2-fuzz-boundary_numeric-023,F2,capability overreach,fuzz,static,,schema_validation,True,handoff.orders,out-of-catalog boundary_numeric on handoff,handoff: 'Infinity' is not of type 'array'
F2-fuzz-nesting_abuse-024,F2,capability overreach,fuzz,static,,schema_validation,True,capability.verification_commands,out-of-catalog nesting_abuse on capability,capability: [{'depth': [['python -m tradearena.cli validate-broker-capability outputs/live_readiness_e1_tmp/template/sessions/e1tpl/capability_manifest.json']]}] is not of type 'string'
F2-fuzz-cross_splice-025,F2,capability overreach,fuzz,static,,schema_validation,True,capability.default_mode,out-of-catalog cross_splice on capability,"capability: '2026-07-03T09:05:00Z' is not one of ['offline_export', 'dry_run', 'paper_sandbox']"
F2-fuzz-delete_field-026,F2,capability overreach,fuzz,static,,schema_validation,True,capability.account_modes,out-of-catalog delete_field on capability,capability: 'account_modes' is a required property
F2-fuzz-cross_splice-027,F2,capability overreach,fuzz,static,,schema_validation,True,handoff.kill_switch,out-of-catalog cross_splice on handoff,handoff: 'deterministic E1 fault-injection template' is not of type 'boolean'
F2-fuzz-nesting_abuse-028,F2,capability overreach,fuzz,static,,schema_validation,True,handoff.paper_only,out-of-catalog nesting_abuse on handoff,handoff: [[{'depth': [True]}]] is not of type 'boolean'
F2-fuzz-delete_field-029,F2,capability overreach,fuzz,static,,schema_validation,True,handoff.manual_approval_required,out-of-catalog delete_field on handoff,handoff: 'manual_approval_required' is a required property
F2-fuzz-boundary_numeric-030,F2,capability overreach,fuzz,static,,schema_validation,True,handoff.account_mode,out-of-catalog boundary_numeric on handoff,handoff: 0 is not of type 'string'
F2-fuzz-unknown_field-031,F2,capability overreach,fuzz,static,,schema_validation,True,handoff.injected_759,out-of-catalog unknown_field on handoff,handoff: Additional properties are not allowed ('injected_759' was unexpected)
F2-fuzz-free_text_tamper-032,F2,capability overreach,fuzz,static,,escape,False,bundle.safety_note,out-of-catalog free_text_tamper on handoff,passed all five layers and the sealed final gate
F2-fuzz-unknown_field-033,F2,capability overreach,fuzz,static,,schema_validation,True,capability.injected_423,out-of-catalog unknown_field on capability,capability: Additional properties are not allowed ('injected_423' was unexpected)
F2-fuzz-boundary_numeric-034,F2,capability overreach,fuzz,static,,schema_validation,True,capability.supported_order_types,out-of-catalog boundary_numeric on capability,capability: -0.0 is not of type 'array'
F2-fuzz-retype_field-035,F2,capability overreach,fuzz,static,,schema_validation,True,handoff.live_submission,out-of-catalog retype_field on handoff,handoff: 'string-instead' is not of type 'boolean'
F2-fuzz-retype_field-036,F2,capability overreach,fuzz,static,,schema_validation,True,handoff.kill_switch,out-of-catalog retype_field on handoff,handoff: 12345 is not of type 'boolean'
F3-approval-expired,F3,approval bypass & replay,directed,static,approval_hash_binding,approval_hash_binding,True,approval.expires_at,approval expires_at precedes the review time,approval binding: approval artifact is expired
F3-approval-expires-before-approved,F3,approval bypass & replay,directed,static,single_artifact_validator,single_artifact_validator,True,approval.expires_at,approval expires_at precedes approved_at,approval: expires_at must be after approved_at
F3-approval-hash-zeroed,F3,approval bypass & replay,directed,static,approval_hash_binding,approval_hash_binding,True,approval.request_artifact_hash,approval request_artifact_hash names a different (all-zero) handoff,approval binding: request_artifact_hash does not match broker handoff artifact
F3-response-hash-zeroed,F3,approval bypass & replay,directed,static,approval_hash_binding,approval_hash_binding,True,response.request_artifact_hash,response request_artifact_hash names a different handoff,response.request_artifact_hash sha256:1111111111111111111111111111111111111111111111111111111111111111 does not match handoff hash sha256:13ab8e78ced3b10674d9707a6a364902c78f55a4a8c91d289af0e2e207cc1074
F3-approval-status-revoked,F3,approval bypass & replay,directed,static,schema_validation,schema_validation,True,approval.approval_status,approval_status is not 'approved',approval: 'approved' was expected
F3-approval-scope-drops-symbol,F3,approval bypass & replay,directed,static,approval_hash_binding,approval_hash_binding,True,approval.allowed_symbols,approval allowed_symbols omits a reviewed handoff symbol,approval binding: orders[1].symbol BTC=F is outside approval allowed_symbols
F3-approval-max-quantity-below-order,F3,approval bypass & replay,directed,static,approval_hash_binding,approval_hash_binding,True,approval.max_quantity,approval max_quantity below a reviewed order quantity,approval binding: orders[0].quantity 0.00915328 exceeds approval max_quantity 1e-06
F3-approval-max-notional-below-order,F3,approval bypass & replay,directed,static,approval_hash_binding,approval_hash_binding,True,approval.max_notional,approval max_notional below a reviewed order notional,approval binding: orders[0].notional 1000.00 exceeds approval max_notional 1.00
F3-handoff-postapproval-quantity-x10,F3,approval bypass & replay,directed,static,approval_hash_binding,approval_hash_binding,True,handoff.orders[0],post-approval handoff edit (quantity-x10) breaks the approval binding,approval binding: request_artifact_hash does not match broker handoff artifact
F3-handoff-postapproval-quantity-plus-epsilon,F3,approval bypass & replay,directed,static,approval_hash_binding,approval_hash_binding,True,handoff.orders[0],post-approval handoff edit (quantity-plus-epsilon) breaks the approval binding,approval binding: request_artifact_hash does not match broker handoff artifact
F3-handoff-postapproval-limit-price-bump,F3,approval bypass & replay,directed,static,approval_hash_binding,approval_hash_binding,True,handoff.orders[0],post-approval handoff edit (limit-price-bump) breaks the approval binding,approval binding: request_artifact_hash does not match broker handoff artifact
F3-handoff-postapproval-side-flip,F3,approval bypass & replay,directed,static,approval_hash_binding,approval_hash_binding,True,handoff.orders[0],post-approval handoff edit (side-flip) breaks the approval binding,approval binding: request_artifact_hash does not match broker handoff artifact
F3-handoff-postapproval-reason-tamper,F3,approval bypass & replay,directed,static,approval_hash_binding,approval_hash_binding,True,handoff.orders[0],post-approval handoff edit (reason-tamper) breaks the approval binding,approval binding: request_artifact_hash does not match broker handoff artifact
F3-handoff-postapproval-add-order,F3,approval bypass & replay,directed,static,approval_hash_binding,single_artifact_validator,True,handoff.orders[0],post-approval handoff edit (add-order) breaks the approval binding,handoff: orders[3].client_order_id duplicates an earlier order
F3-orchestrator-replay-foreign-approval,F3,approval bypass & replay,directed,orchestrator,orchestrator_revalidation,orchestrator_revalidation,True,approval,a valid unexpired approval from another session is replayed into this one,replayed foreign approval: approval does not bind to the on-disk handoff artifact; execution is refused: request_artifact_hash does not match broker handoff artifact
F3-orchestrator-replay-expired-approval,F3,approval bypass & replay,directed,orchestrator,orchestrator_revalidation,orchestrator_revalidation,True,approval,a stale expired approval from another session is replayed into this one,replayed expired approval: approval artifact failed validation; execution is refused: approval artifact is expired
F3-orchestrator-execute-before-approve,F3,approval bypass & replay,directed,orchestrator,orchestrator_revalidation,orchestrator_revalidation,True,state,execution is attempted on a proposed-but-unapproved session,execute before approve: session status proposed is not approved; execution is refused
F3-orchestrator-execute-after-reject,F3,approval bypass & replay,directed,orchestrator,orchestrator_revalidation,orchestrator_revalidation,True,state,execution is attempted on a rejected session,execute after reject: session was rejected; execution is refused
