entry_id,scenario_id,agent_type,provider,model_family,prompt_mode,risk_feedback_mode,evidence_tags,claim_class,evidence_tier,claim_scope,parse_coverage,model_redacted,data_source,frequency,symbols,total_return,max_drawdown,fill_rate,rejected_orders,risk_edits,audit_coverage,reproducibility_hash,reproducibility_status,redaction_status,source_file
ta-4dfc17c135a0,leaderboard_llm_high_vol_synthetic_v0_1,control_policy,baseline,always-hold,rationale,true,stress-only;deterministic-baseline,benchmark,stress-benchmark,deterministic baseline under stress-only execution,1.0,False,synthetic-market,daily,2,0.0,0.0,0.0,0,0,1.0,sha256:4dfc17c135a0e1c2ff7e7c715722d2904de20678b09ded0ead3b3c5ff35671b7,Reproducible,Redacted,examples/benchmark_submissions/model_matrix/high_vol__baseline_always_hold__seed_33.json
ta-85914c9333eb,leaderboard_llm_high_vol_synthetic_v0_1,control_policy,baseline,always-hold,rationale,true,stress-only;deterministic-baseline,benchmark,stress-benchmark,deterministic baseline under stress-only execution,1.0,False,synthetic-market,daily,2,0.0,0.0,0.0,0,0,1.0,sha256:85914c9333eb1b2436090f81d23c90d759b5f115265ac090b854bc16e32e268d,Reproducible,Redacted,examples/benchmark_submissions/model_matrix/high_vol__baseline_always_hold__seed_41.json
ta-56efa955c691,leaderboard_llm_high_vol_synthetic_v0_1,control_policy,baseline,random,rationale,true,stress-only;deterministic-baseline,benchmark,stress-benchmark,deterministic baseline under stress-only execution,1.0,False,synthetic-market,daily,2,-0.014136171350726534,-0.014136171350726534,0.7333333333333333,2,0,1.0,sha256:56efa955c69154b343ec2a083e11d476053f86c3ee9d5f0bdffc79b73721cc8c,Reproducible,Redacted,examples/benchmark_submissions/model_matrix/high_vol__baseline_random__seed_17.json
ta-a2f838f37d16,leaderboard_llm_high_vol_synthetic_v0_1,control_policy,baseline,random,rationale,true,stress-only;deterministic-baseline,benchmark,stress-benchmark,deterministic baseline under stress-only execution,1.0,False,synthetic-market,daily,2,0.013896993283889936,-0.002228078501003483,0.75,3,0,1.0,sha256:a2f838f37d1695fbfad592e2f9869f7f5efb7f595eb5832e3a5be76d230e9268,Reproducible,Redacted,examples/benchmark_submissions/model_matrix/high_vol__baseline_random__seed_21.json
ta-9662fa012555,leaderboard_llm_high_vol_synthetic_v0_1,control_policy,baseline,random,rationale,true,stress-only;deterministic-baseline,benchmark,stress-benchmark,deterministic baseline under stress-only execution,1.0,False,synthetic-market,daily,2,-0.02375828862128171,-0.026208920987119466,0.7857142857142857,1,0,1.0,sha256:9662fa0125554fb00e583209281b52dd9e67069a3472b36ab873694d9486ac90,Reproducible,Redacted,examples/benchmark_submissions/model_matrix/high_vol__baseline_random__seed_27.json
ta-0a73e46ec48b,leaderboard_llm_high_vol_synthetic_v0_1,control_policy,baseline,random,rationale,true,stress-only;deterministic-baseline,benchmark,stress-benchmark,deterministic baseline under stress-only execution,1.0,False,synthetic-market,daily,2,0.0204013440015538,-0.017890318445910935,0.8125,1,0,1.0,sha256:0a73e46ec48b495c3adbc03b973c3ab67c6e9686bb246c0837be6c5437dc7860,Reproducible,Redacted,examples/benchmark_submissions/model_matrix/high_vol__baseline_random__seed_33.json
ta-315a367cb5b1,leaderboard_llm_high_vol_synthetic_v0_1,control_policy,baseline,random,rationale,true,stress-only;deterministic-baseline,benchmark,stress-benchmark,deterministic baseline under stress-only execution,1.0,False,synthetic-market,daily,2,0.0383126450784772,-0.0009179051196320787,0.8125,1,0,1.0,sha256:315a367cb5b14bf1459643e1319d825134ec43108cc7117c41e1fb116c20cd7a,Reproducible,Redacted,examples/benchmark_submissions/model_matrix/high_vol__baseline_random__seed_41.json
ta-817eef2f37a2,leaderboard_llm_high_vol_synthetic_v0_1,llm_policy,deepseek,deepseek-v4-flash,rationale,true,stress-only;cached-provider;redacted-prompt,benchmark,stress-benchmark,cached-provider reliability under stress-only execution,1.0,False,synthetic-market,daily,2,0.00327664662175553,-0.00754810941491646,0.7692307692307693,1,10,1.0,sha256:817eef2f37a2024f091e6fdf02a054517680b7f212ccba64636b56364378d299,Reproducible,Redacted,examples/benchmark_submissions/model_matrix/high_vol__deepseek_deepseek_v4_flash.json
ta-05e101952ae2,leaderboard_llm_high_vol_synthetic_v0_1,llm_policy,deepseek,deepseek-v4-pro,rationale,true,stress-only;cached-provider;redacted-prompt,benchmark,stress-benchmark,cached-provider reliability under stress-only execution,1.0,False,synthetic-market,daily,2,0.004339085092315731,-0.006497134021152151,0.75,1,9,1.0,sha256:05e101952ae24d095162eab0825c55527082b1f979982c7a75502c3935912e4b,Reproducible,Redacted,examples/benchmark_submissions/model_matrix/high_vol__deepseek_deepseek_v4_pro.json
ta-8aaf791e5111,leaderboard_llm_high_vol_synthetic_v0_1,llm_policy,poe,claude-opus-4.7,rationale,true,stress-only;cached-provider;redacted-prompt,benchmark,stress-benchmark,cached-provider reliability under stress-only execution,1.0,False,synthetic-market,daily,2,0.004469174811702281,-0.00582775325630025,0.75,1,8,1.0,sha256:8aaf791e5111bb3817f8ef20c8dd6551975587c68bab188c7d874eedb62539b7,Reproducible,Redacted,examples/benchmark_submissions/model_matrix/high_vol__poe_claude_opus_4_7.json
ta-11a2de57a72d,leaderboard_llm_high_vol_synthetic_v0_1,llm_policy,poe,gemini-3.1-pro,rationale,true,stress-only;cached-provider;redacted-prompt,benchmark,stress-benchmark,cached-provider reliability under stress-only execution,1.0,False,synthetic-market,daily,2,0.014380820994550625,-0.004041424009702865,0.75,2,6,1.0,sha256:11a2de57a72d0449395c0bf0a50f78ac7f57d72ecbc1bf3c6699c5d1db60935b,Reproducible,Redacted,examples/benchmark_submissions/model_matrix/high_vol__poe_gemini_3_1_pro.json
ta-96447d495a71,leaderboard_llm_high_vol_synthetic_v0_1,llm_policy,poe,glm-5,rationale,true,stress-only;cached-provider;redacted-prompt,benchmark,stress-benchmark,cached-provider reliability under stress-only execution,1.0,False,synthetic-market,daily,2,0.0030159018066973076,-0.005820035613082308,0.8461538461538461,0,8,1.0,sha256:96447d495a712b930d8ada9f6c184271ded3e5fc6e87d31980ea136ec8cb6966,Reproducible,Redacted,examples/benchmark_submissions/model_matrix/high_vol__poe_glm_5.json
ta-e622727b4323,leaderboard_llm_high_vol_synthetic_v0_1,llm_policy,poe,gpt-5.5,rationale,true,stress-only;cached-provider;redacted-prompt,benchmark,stress-benchmark,cached-provider reliability under stress-only execution,1.0,False,synthetic-market,daily,2,0.003797331808502946,-0.006492709120251905,0.75,1,8,1.0,sha256:e622727b432351dcf220bc4a812b614fe2a099d91f7423b9c9c527081b132f88,Reproducible,Redacted,examples/benchmark_submissions/model_matrix/high_vol__poe_gpt_5_5.json
ta-bcde515dace4,leaderboard_llm_high_vol_synthetic_v0_1,llm_policy,poe,kimi-k2.5,rationale,true,stress-only;cached-provider;redacted-prompt,benchmark,stress-benchmark,cached-provider reliability under stress-only execution,1.0,False,synthetic-market,daily,2,0.003685198028611003,-0.005156635468709814,0.8461538461538461,0,8,1.0,sha256:bcde515dace4494efb6ec18fbaec68b891688fc915e3832d865db4c314650928,Reproducible,Redacted,examples/benchmark_submissions/model_matrix/high_vol__poe_kimi_k2_5.json
ta-d15a87438728,leaderboard_llm_jump_tail_synthetic_v0_1,control_policy,baseline,always-hold,rationale,true,stress-only;deterministic-baseline,benchmark,stress-benchmark,deterministic baseline under stress-only execution,1.0,False,synthetic-market,daily,2,0.0,0.0,0.0,0,0,1.0,sha256:d15a87438728de761e003597c65c7c580cff1b6a78f4f3ad079f0f2fd8893834,Reproducible,Redacted,examples/benchmark_submissions/model_matrix/jump_tail__baseline_always_hold__seed_29.json
ta-c353fa8d8aac,leaderboard_llm_jump_tail_synthetic_v0_1,control_policy,baseline,always-hold,rationale,true,stress-only;deterministic-baseline,benchmark,stress-benchmark,deterministic baseline under stress-only execution,1.0,False,synthetic-market,daily,2,0.0,0.0,0.0,0,0,1.0,sha256:c353fa8d8aacc5b5ea87516f297c7172da5d8cf370df9d142517c0fb1f0c70e2,Reproducible,Redacted,examples/benchmark_submissions/model_matrix/jump_tail__baseline_always_hold__seed_33.json
ta-3f4548fcfe1a,leaderboard_llm_jump_tail_synthetic_v0_1,control_policy,baseline,always-hold,rationale,true,stress-only;deterministic-baseline,benchmark,stress-benchmark,deterministic baseline under stress-only execution,1.0,False,synthetic-market,daily,2,0.0,0.0,0.0,0,0,1.0,sha256:3f4548fcfe1a3e197dd1ad41ac1b07cb0e7b1dd24e1972b6e23fdc2668934853,Reproducible,Redacted,examples/benchmark_submissions/model_matrix/jump_tail__baseline_always_hold__seed_39.json
ta-7f22806dea18,leaderboard_llm_jump_tail_synthetic_v0_1,control_policy,baseline,always-hold,rationale,true,stress-only;deterministic-baseline,benchmark,stress-benchmark,deterministic baseline under stress-only execution,1.0,False,synthetic-market,daily,2,0.0,0.0,0.0,0,0,1.0,sha256:7f22806dea18d7b73257b411d6a5d750ee29adb351e43b526d9995f49d6df680,Reproducible,Redacted,examples/benchmark_submissions/model_matrix/jump_tail__baseline_always_hold__seed_45.json
ta-836432d9b11a,leaderboard_llm_jump_tail_synthetic_v0_1,control_policy,baseline,always-hold,rationale,true,stress-only;deterministic-baseline,benchmark,stress-benchmark,deterministic baseline under stress-only execution,1.0,False,synthetic-market,daily,2,0.0,0.0,0.0,0,0,1.0,sha256:836432d9b11adbcad2d8a42ffc1a71d0c0f073526149cfc79415b43078bb777e,Reproducible,Redacted,examples/benchmark_submissions/model_matrix/jump_tail__baseline_always_hold__seed_53.json
ta-5cb2d1f11f6d,leaderboard_llm_jump_tail_synthetic_v0_1,control_policy,baseline,random,rationale,true,stress-only;deterministic-baseline,benchmark,stress-benchmark,deterministic baseline under stress-only execution,1.0,False,synthetic-market,daily,2,0.010414665671663936,-0.034183216265984195,0.75,2,0,1.0,sha256:5cb2d1f11f6dfd2e555c79dc5f0f71b1e2b26006c249a9a5642ab28bdc575b2c,Reproducible,Redacted,examples/benchmark_submissions/model_matrix/jump_tail__baseline_random__seed_29.json
ta-b441e1db5528,leaderboard_llm_jump_tail_synthetic_v0_1,control_policy,baseline,random,rationale,true,stress-only;deterministic-baseline,benchmark,stress-benchmark,deterministic baseline under stress-only execution,1.0,False,synthetic-market,daily,2,0.02688572318413618,-0.008717652949116528,0.8125,1,0,1.0,sha256:b441e1db5528bf3f1fe727d50357ba039f5aa98d1e373c9c432bddb84bd293c4,Reproducible,Redacted,examples/benchmark_submissions/model_matrix/jump_tail__baseline_random__seed_33.json
ta-3b6992b6545d,leaderboard_llm_jump_tail_synthetic_v0_1,control_policy,baseline,random,rationale,true,stress-only;deterministic-baseline,benchmark,stress-benchmark,deterministic baseline under stress-only execution,1.0,False,synthetic-market,daily,2,-0.04374925202705282,-0.05419278898103341,0.8125,1,0,1.0,sha256:3b6992b6545d1e366f00589815a1c01d9b42100d2ac33b1215cfea0f4549020c,Reproducible,Redacted,examples/benchmark_submissions/model_matrix/jump_tail__baseline_random__seed_39.json
ta-a84ff6d7402f,leaderboard_llm_jump_tail_synthetic_v0_1,control_policy,baseline,random,rationale,true,stress-only;deterministic-baseline,benchmark,stress-benchmark,deterministic baseline under stress-only execution,1.0,False,synthetic-market,daily,2,-0.02861666548389097,-0.04784163109347794,0.8125,1,0,1.0,sha256:a84ff6d7402f725575ad3704f57f6537a7bc7d16ef16d0eb3456d11283f9cabb,Reproducible,Redacted,examples/benchmark_submissions/model_matrix/jump_tail__baseline_random__seed_45.json
ta-6825325cfdb0,leaderboard_llm_jump_tail_synthetic_v0_1,control_policy,baseline,random,rationale,true,stress-only;deterministic-baseline,benchmark,stress-benchmark,deterministic baseline under stress-only execution,1.0,False,synthetic-market,daily,2,0.09417669856058541,-0.004271932929534761,0.75,2,0,1.0,sha256:6825325cfdb071e85696bf681170db75ef232c3b081d4ef95894aedde038f72d,Reproducible,Redacted,examples/benchmark_submissions/model_matrix/jump_tail__baseline_random__seed_53.json
ta-99983feb3ad7,leaderboard_llm_jump_tail_synthetic_v0_1,llm_policy,deepseek,deepseek-v4-flash,rationale,true,stress-only;cached-provider;redacted-prompt,benchmark,stress-benchmark,cached-provider reliability under stress-only execution,1.0,False,synthetic-market,daily,2,0.016686905489183834,-0.021397961890934902,0.6666666666666666,3,12,1.0,sha256:99983feb3ad7745410e61fdfd0a339aeb0bbc61d5a970457be68f04883f7b3cd,Reproducible,Redacted,examples/benchmark_submissions/model_matrix/jump_tail__deepseek_deepseek_v4_flash.json
ta-30b9043e4daf,leaderboard_llm_jump_tail_synthetic_v0_1,llm_policy,deepseek,deepseek-v4-pro,rationale,true,stress-only;cached-provider;redacted-prompt,benchmark,stress-benchmark,cached-provider reliability under stress-only execution,1.0,False,synthetic-market,daily,2,0.016686905489183834,-0.021397961890934902,0.7692307692307693,2,9,1.0,sha256:30b9043e4dafd573418092dfedb7a78b772f28bca64a5b234e8ca7ec3d5509c1,Reproducible,Redacted,examples/benchmark_submissions/model_matrix/jump_tail__deepseek_deepseek_v4_pro.json
ta-0d773b86a41b,leaderboard_llm_jump_tail_synthetic_v0_1,llm_policy,poe,claude-opus-4.7,rationale,true,stress-only;cached-provider;redacted-prompt,benchmark,stress-benchmark,cached-provider reliability under stress-only execution,1.0,False,synthetic-market,daily,2,0.016686905489183834,-0.021397961890934902,0.6666666666666666,3,10,1.0,sha256:0d773b86a41b201e3824c946197c2dfaab9c744fcde5158195ba92ad857b53e5,Reproducible,Redacted,examples/benchmark_submissions/model_matrix/jump_tail__poe_claude_opus_4_7.json
ta-5c0f219d4cea,leaderboard_llm_jump_tail_synthetic_v0_1,llm_policy,poe,gemini-3.1-pro,rationale,true,stress-only;cached-provider;redacted-prompt,benchmark,stress-benchmark,cached-provider reliability under stress-only execution,1.0,False,synthetic-market,daily,2,0.015666191920414185,-0.007501423714052713,0.6428571428571429,3,9,1.0,sha256:5c0f219d4cea28712e7d0bc11c323943280c578d087acffc9f36b8f6af0b33df,Reproducible,Redacted,examples/benchmark_submissions/model_matrix/jump_tail__poe_gemini_3_1_pro.json
ta-514d4157571d,leaderboard_llm_jump_tail_synthetic_v0_1,llm_policy,poe,glm-5,rationale,true,stress-only;cached-provider;redacted-prompt,benchmark,stress-benchmark,cached-provider reliability under stress-only execution,1.0,False,synthetic-market,daily,2,0.016686905489183834,-0.021397961890934902,0.7142857142857143,3,11,1.0,sha256:514d4157571d384947bba0ea295da35096643d1ca9a16b20ebf6042c59426587,Reproducible,Redacted,examples/benchmark_submissions/model_matrix/jump_tail__poe_glm_5.json
ta-50e42e87acb5,leaderboard_llm_jump_tail_synthetic_v0_1,llm_policy,poe,gpt-5.5,rationale,true,stress-only;cached-provider;redacted-prompt,benchmark,stress-benchmark,cached-provider reliability under stress-only execution,1.0,False,synthetic-market,daily,2,0.016686905489183834,-0.021397961890934902,0.6666666666666666,3,12,1.0,sha256:50e42e87acb5866092c8059f76d9af57993deb02219c93b68e81ac9abe3da12a,Reproducible,Redacted,examples/benchmark_submissions/model_matrix/jump_tail__poe_gpt_5_5.json
ta-07e91c904d14,leaderboard_llm_jump_tail_synthetic_v0_1,llm_policy,poe,kimi-k2.5,rationale,true,stress-only;cached-provider;redacted-prompt,benchmark,stress-benchmark,cached-provider reliability under stress-only execution,1.0,False,synthetic-market,daily,2,0.016686905489183834,-0.021397961890934902,0.6666666666666666,3,11,1.0,sha256:07e91c904d14031ed2eedd42dead47953a65e7603a8ff6015e9575c30e724063,Reproducible,Redacted,examples/benchmark_submissions/model_matrix/jump_tail__poe_kimi_k2_5.json
